turbine,turbine_label,model,spacing_case,min_distance_m,min_distance_rotor_diameters,variant,interdistance_m,eligible_area_km2,n_parks,turbines_per_park,median_park_size,largest_park,n_turbines,p_nom_max_mw,effective_density_mw_km2,refused_by_horizon,share_in_groups_below_min_pct,share_single_pct,check_ok,check_min_spacing_m,check_worst_free_arc_deg
T136_V112,V112 / 3.0 MW (tip 136 m),free,observed,481.6,4.3,row_major,,461.44,,,,,4821,14463.0,31.343,,,,,,
T136_V112,V112 / 3.0 MW (tip 136 m),free,observed,481.6,4.3,random,,461.44,,,,,4156,12468.0,27.02,,,,,,
T136_V112,V112 / 3.0 MW (tip 136 m),parks+horizon,observed,481.6,4.3,,,461.44,457.0,7.6,3.0,107.0,3478,10434.0,22.612,24230.0,10.8,4.5,True,500.0,130.0
T136_V112,V112 / 3.0 MW (tip 136 m),free,crosswind,560.0,5.0,row_major,,461.44,,,,,4114,12342.0,26.747,,,,,,
T136_V112,V112 / 3.0 MW (tip 136 m),free,crosswind,560.0,5.0,random,,461.44,,,,,3499,10497.0,22.748,,,,,,
T136_V112,V112 / 3.0 MW (tip 136 m),parks,crosswind,560.0,5.0,,,461.44,609.0,6.6,2.0,179.0,4022,12066.0,26.149,,14.2,5.7,True,565.7,
T136_V112,V112 / 3.0 MW (tip 136 m),parks+horizon,crosswind,560.0,5.0,,,461.44,470.0,6.2,2.0,88.0,2934,8802.0,19.075,26112.0,13.6,5.9,True,565.7,130.1
T136_V112,V112 / 3.0 MW (tip 136 m),parks+horizon+4km,crosswind,560.0,5.0,,4000.0,461.44,278.0,8.2,4.0,88.0,2268,6804.0,14.745,5285.0,8.4,3.3,True,565.7,130.1
T136_V112,V112 / 3.0 MW (tip 136 m),parks+horizon+6km,crosswind,560.0,5.0,,6000.0,461.44,192.0,9.3,4.0,88.0,1779,5337.0,11.566,597.0,6.6,3.1,True,565.7,130.1
T136_V112,V112 / 3.0 MW (tip 136 m),parks4+horizon,crosswind,560.0,5.0,,,461.44,197.0,12.9,8.0,88.0,2534,7602.0,16.475,18975.0,0.0,0.0,True,565.7,130.1
T136_V112,V112 / 3.0 MW (tip 136 m),free,isotropic,662.6,5.92,row_major,,461.44,,,,,3443,10329.0,22.384,,,,,,
T136_V112,V112 / 3.0 MW (tip 136 m),free,isotropic,662.6,5.92,random,,461.44,,,,,2957,8871.0,19.225,,,,,,
T136_V112,V112 / 3.0 MW (tip 136 m),parks+horizon,isotropic,662.6,5.92,,,461.44,475.0,5.2,2.0,67.0,2451,7353.0,15.935,32927.0,17.8,7.0,True,670.8,130.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,observed,645.0,4.3,row_major,,417.97,,,,,3213,12852.0,30.749,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,observed,645.0,4.3,random,,417.97,,,,,2760,11040.0,26.413,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon,observed,645.0,4.3,,,417.97,467.0,4.9,2.0,55.0,2280,9120.0,21.82,26636.0,18.4,7.5,True,670.8,130.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,crosswind,750.0,5.0,row_major,,417.97,,,,,2865,11460.0,27.418,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,crosswind,750.0,5.0,random,,417.97,,,,,2458,9832.0,23.523,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks,crosswind,750.0,5.0,,,417.97,611.0,4.5,2.0,75.0,2771,11084.0,26.519,,22.0,9.3,True,761.6,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon,crosswind,750.0,5.0,,,417.97,453.0,4.5,2.0,55.0,2043,8172.0,19.552,25940.0,20.7,8.4,True,761.6,130.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon+4km,crosswind,750.0,5.0,,4000.0,417.97,284.0,5.6,2.5,55.0,1579,6316.0,15.111,3546.0,13.9,6.1,True,761.6,130.1
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon+6km,crosswind,750.0,5.0,,6000.0,417.97,193.0,6.3,3.0,55.0,1223,4892.0,11.704,412.0,11.4,5.3,True,761.6,130.2
